Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"selectOptionByLabel(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/CategoryElement""), ""Books"", false)",Chrome 120.0.0.0,,,21-01-2024 15:55:01,21-01-2024 15:55:11,10.327s,PASSED
"setText(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), ""Da vinci code"")",Chrome 120.0.0.0,,,21-01-2024 15:55:11,21-01-2024 15:55:13,1.483s,PASSED
"click(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_nav-search-submit-button""))",Chrome 120.0.0.0,,,21-01-2024 15:55:13,21-01-2024 15:55:23,10.597s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,21-01-2024 15:55:23,21-01-2024 15:55:23,0.224s,PASSED
,,,,,,,
Test Cases/Data_Driven_Testing/TC_Validation Amazon Category_Excel_001,Chrome 120.0.0.0,,,21-01-2024 15:55:23,21-01-2024 15:56:07,43.107s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,21-01-2024 15:55:23,21-01-2024 15:55:24,0.684s,PASSED
"navigateToUrl(""http://www.amazon.com"")",Chrome 120.0.0.0,,,21-01-2024 15:55:24,21-01-2024 15:55:26,2.052s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/CategoryElement""), ""Books"", false)",Chrome 120.0.0.0,,,21-01-2024 15:55:26,21-01-2024 15:55:59,32.712s,PASSED
"setText(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), ""Da vinci code"")",Chrome 120.0.0.0,,,21-01-2024 15:55:59,21-01-2024 15:56:01,1.749s,PASSED
"click(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_nav-search-submit-button""))",Chrome 120.0.0.0,,,21-01-2024 15:56:01,21-01-2024 15:56:06,5.636s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,21-01-2024 15:56:06,21-01-2024 15:56:07,0.253s,PASSED
,,,,,,,
Test Cases/Data_Driven_Testing/TC_Validation Amazon Category_Excel_001,Chrome 120.0.0.0,,,21-01-2024 15:56:07,21-01-2024 15:56:59,52.062s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,21-01-2024 15:56:07,21-01-2024 15:56:07,0.740s,PASSED
"navigateToUrl(""http://www.amazon.com"")",Chrome 120.0.0.0,,,21-01-2024 15:56:07,21-01-2024 15:56:09,1.657s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/CategoryElement""), ""Books"", false)",Chrome 120.0.0.0,,,21-01-2024 15:56:09,21-01-2024 15:56:37,27.591s,PASSED
"setText(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), ""Da vinci code"")",Chrome 120.0.0.0,,,21-01-2024 15:56:37,21-01-2024 15:56:39,2.460s,PASSED
"click(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_nav-search-submit-button""))",Chrome 120.0.0.0,,,21-01-2024 15:56:39,21-01-2024 15:56:58,19.344s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,21-01-2024 15:56:58,21-01-2024 15:56:59,0.247s,PASSED
